*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,has broader[0],has narrower[0],has narrower[1],related to[0],related to[1]
blueline process,,1001,blueline process,A production method that consists of a contact printing process based on diazonium salt and azo dye chemical reactions that renders all opaque tones or colours as blue on a neutral background.,A production method that consists of a contact printing process based on diazonium salt and azo dye chemical reactions that renders all opaque tones or colours as blue on a neutral background.,,rdapm:1001,Published,,,,rdapm:1002,rdapm:1011
blueprint process,,1002,blueprint process,A production method that consists of a contact printing process based on iron salt chemical reactions that renders all opaque tones or colours as white on a blue background.,A production method that consists of a contact printing process based on iron salt chemical reactions that renders all opaque tones or colours as white on a blue background.,,rdapm:1002,Published,,,,rdapm:1001,rdapm:1011
collotype,,1003,collotype,A production method that consists of a contact printing process using a dichromate chemical reaction that hardens gelatin on exposure to ultraviolet light to produce a positive master that is subsequently used in a lithographic process.,A production method that consists of a contact printing process using a dichromate chemical reaction that hardens gelatin on exposure to ultraviolet light to produce a positive master that is subsequently used in a lithographic process.,,rdapm:1003,Published,,,,,
daguerreotype process,,1004,daguerreotype process,"A production method that consists of a photographic process using a silver-coated copper plate that is exposed in a camera and subsequently developed, usually using mercury vapour, and fixed with salt to create a positive image.","A production method that consists of a photographic process using a silver-coated copper plate that is exposed in a camera and subsequently developed, usually using mercury vapour, and fixed with salt to create a positive image.",,rdapm:1004,Published,,,,,
engraving,,1005,engraving,A production method that consists of the incision of marks on the surface of a hard material using a sharp tool.,A production method that consists of the incision of marks on the surface of a hard material using a sharp tool.,Engraving includes the preparation of a printing plate for an intaglio process.,rdapm:1005,Published,,,,rdapm:1006,rdapm:1016
etching,,1006,etching,"A production method that consists of an intaglio process in which a design is worked into an acid-resistant substance coating a metal printing plate; the plate is then exposed to acid, which etches the plate where the metal is exposed, to create lines and dark areas.","A production method that consists of an intaglio process in which a design is worked into an acid-resistant substance coating a metal printing plate; the plate is then exposed to acid, which etches the plate where the metal is exposed, to create lines and dark areas.",,rdapm:1006,Published,,,,rdapm:1005,rdapm:1016
lithography,,1007,lithography,A production method that consists of a planographic printing process in which a stone or plate is prepared using a water-repelling substance making parts of the plate receptive to ink.,A production method that consists of a planographic printing process in which a stone or plate is prepared using a water-repelling substance making parts of the plate receptive to ink.,,rdapm:1007,Published,,,,,
photocopying,,1008,photocopying,A production method that consists of a macroform photoreproduction process using radiant energy in contact with or projected on opaque material.,A production method that consists of a macroform photoreproduction process using radiant energy in contact with or projected on opaque material.,,rdapm:1008,Published,,,,,
photoengraving,,1009,photoengraving,A production method that consists of a photomechanical process for the preparation of chemically etched printing plates.,A production method that consists of a photomechanical process for the preparation of chemically etched printing plates.,,rdapm:1009,Published,,,,,
printing,,1010,printing,"A production method that consists of a process that transfers a pictorial or textual image from a master carrier to the surface of another carrier, often using a plate, block, stone, or screen coated with a transferable material.","A production method that consists of a process that transfers a pictorial or textual image from a master carrier to the surface of another carrier, often using a plate, block, stone, or screen coated with a transferable material.",Includes the production of photographic prints and paper copies of stored computer data.,rdapm:1010,Published,,,,rdapm:1012,
white print process,,1011,white print process,A production method that consists of a contact printing process based on a light sensitive process that renders all opaque tones or colours as black or a colour on a white background.,A production method that consists of a contact printing process based on a light sensitive process that renders all opaque tones or colours as black or a colour on a white background.,,rdapm:1011,Published,,,,rdapm:1001,rdapm:1002
woodcut making,,1012,woodcut making,A production method that consists of a relief process in which a design is cut into and printed from the surface of a wood block.,A production method that consists of a relief process in which a design is cut into and printed from the surface of a wood block.,,rdapm:1012,Published,,,,rdapm:1010,
photogravure process,,1014,photogravure process,A production method that consists of an intaglio process in which the metal printing plate is prepared using a dichromate process to leave a gelatin resist coating of varying thickness that is etched to form cells of varying depth able to hold different amounts of ink.,A production method that consists of an intaglio process in which the metal printing plate is prepared using a dichromate process to leave a gelatin resist coating of varying thickness that is etched to form cells of varying depth able to hold different amounts of ink.,,rdapm:1014,Published,,,,,
burning,,1015,burning,A production method that consists of the application of heat to mark the surface of a material.,A production method that consists of the application of heat to mark the surface of a material.,,rdapm:1015,Published,,,,,
inscribing,,1016,inscribing,A production method that consists of a process that fixes signs and symbols onto a base material by cutting into the surface.,A production method that consists of a process that fixes signs and symbols onto a base material by cutting into the surface.,,rdapm:1016,Published,,rdapm:1006,rdapm:1005,rdapm:1005,rdapm:1006
stamping,,1017,stamping,A production method that consists of the application of pressure to make an impression on the surface of a material.,A production method that consists of the application of pressure to make an impression on the surface of a material.,,rdapm:1017,Published,,,,,
embossing,,1018,embossing,A production method that consists of the use of either a metal or plastic sheet as a master with specialized equipment to produce copies for a manifestation of a tactile expression.,A production method that consists of the use of either a metal or plastic sheet as a master with specialized equipment to produce copies for a manifestation of a tactile expression.,,rdapm:1018,Published,,,,,
solid dot,,1019,solid dot,A production method for a manifestation of a tactile expression in which solid plastic dots are heat sealed onto the surface of thin but strong paper.,A production method for a manifestation of a tactile expression in which solid plastic dots are heat sealed onto the surface of thin but strong paper.,,rdapm:1019,Published,,,,,
swell paper,Minolta paper,1020,swell paper,A production method for a manifestation of a tactile expression in which an image is printed on a special type of paper with embedded microcapsules of alcohol which burst when exposed to heat to make the surface of the paper swell up.,A production method for a manifestation of a tactile expression in which an image is printed on a special type of paper with embedded microcapsules of alcohol which burst when exposed to heat to make the surface of the paper swell up.,,rdapm:1020,Published,,,,,
thermoform,vacuum form,1021,thermoform,"A production method for a manifestation of a tactile expression in which a collage master is covered with a sheet of plastic, which is heated and vacuumed to generate a copy of a model or diagram.","A production method for a manifestation of a tactile expression in which a collage master is covered with a sheet of plastic, which is heated and vacuumed to generate a copy of a model or diagram.",,rdapm:1021,Published,,,,,
