*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,related to[0],related to[1],related to[2],related to[3],related to[4]
acetate,cellulose acetate,1001,acetate,A material that is composed of the acetate ester of cellulose.,A material that is composed of the acetate ester of cellulose.,,rdamat:1001,Published,rdamat:1029,rdamat:1040,,,
acrylic paint,,1002,acrylic paint,A material that consists of pigment or dye bound in an emulsion of acrylic resin.,A material that consists of pigment or dye bound in an emulsion of acrylic resin.,,rdamat:1002,Published,,,,,
aluminium,aluminum,1003,aluminium,"A material that is a non-magnetic metal, usually alloyed, that is ductile and malleable with a lustre that ranges from grey to silver.","A material that is a non-magnetic metal, usually alloyed, that is ductile and malleable with a lustre that ranges from grey to silver.",,rdamat:1003,Published,,,,,
Bristol board,,1004,Bristol board,"A material that consists of a high-grade white cardboard, most commonly made by pasting together sheets of heavy ledger paper.","A material that consists of a high-grade white cardboard, most commonly made by pasting together sheets of heavy ledger paper.",,rdamat:1004,Published,,,,,
canvas,,1005,canvas,"A material that consists of a closely woven textile made in various weights, usually of flax, hemp, jute, or cotton, used as a support for painting or printing; or a loosely woven, lattice-like mesh, usually of flax, hemp, jute, or cotton, used as a needlepoint foundation.","A material that consists of a closely woven textile made in various weights, usually of flax, hemp, jute, or cotton, used as a support for painting or printing; or a loosely woven, lattice-like mesh, usually of flax, hemp, jute, or cotton, used as a needlepoint foundation.",,rdamat:1005,Published,,,,,
cardboard,,1006,cardboard,"A material that consists of a type of stiff sheet typically made of good-quality chemical pulp or rag pulp, varying greatly in type and strength, and that is thicker than 0.1524 mm.","A material that consists of a type of stiff sheet typically made of good-quality chemical pulp or rag pulp, varying greatly in type and strength, and that is thicker than 0.1524 mm.",,rdamat:1006,Published,,,,,
ceramic,,1007,ceramic,"A material that consists of a nonmetallic mineral, such as clay, fired at a high temperature to form a hard, brittle, heat- and corrosion-resistant material.","A material that consists of a nonmetallic mineral, such as clay, fired at a high temperature to form a hard, brittle, heat- and corrosion-resistant material.",,rdamat:1007,Published,,,,,
chalk,,1008,chalk,"A material that consists of fine-grained limestone, or a soft, earthy form of calcium carbonate.","A material that consists of fine-grained limestone, or a soft, earthy form of calcium carbonate.",,rdamat:1008,Published,,,,,
charcoal,,1009,charcoal,"A material that consists of the dark grey residue made of carbon, and any remaining ash, obtained by removing water and other volatile constituents from animal and plant substances.","A material that consists of the dark grey residue made of carbon, and any remaining ash, obtained by removing water and other volatile constituents from animal and plant substances.",,rdamat:1009,Published,,,,,
diacetate,cellulose diacetate,1010,diacetate,A material that is made by treating cellulose with acetic acid.,A material that is made by treating cellulose with acetic acid.,,rdamat:1010,Published,rdamat:1033,rdamat:1040,,,
dye,,1011,dye,A material that consists of a coloured substance dissolved or suspended in a liquid that can be absorbed by the base material.,A material that consists of a coloured substance dissolved or suspended in a liquid that can be absorbed by the base material.,,rdamat:1011,Published,,,,,
glass,,1012,glass,"A material that consists of silicon dioxide, also known as silica, fused with one or more basic oxides; generally transparent but often translucent or opaque.","A material that consists of silicon dioxide, also known as silica, fused with one or more basic oxides; generally transparent but often translucent or opaque.",,rdamat:1012,Published,,,,,
gouache,,1013,gouache,"A material that consists of pigment and a binding substance, and sometimes added inert materials, to form an opaque, coloured, water-soluble paint.","A material that consists of pigment and a binding substance, and sometimes added inert materials, to form an opaque, coloured, water-soluble paint.",Poster paints are included. The term originally referred to the technique of oil paint applied on top of tempera.,rdamat:1013,Published,,,,,
graphite,,1014,graphite,"A material that consists of a naturally occurring allotrope of carbon that is opaque, soft, greasy to the touch, and iron black to steel gray in colour.","A material that consists of a naturally occurring allotrope of carbon that is opaque, soft, greasy to the touch, and iron black to steel gray in colour.","The material is used in the form of powder, sticks, or in pencils.",rdamat:1014,Published,,,,,
hardboard,fibreboard,1015,hardboard,"A material that consists of any firm, dense, rigid board, often manufactured from fiber consolidated in a hot press.","A material that consists of any firm, dense, rigid board, often manufactured from fiber consolidated in a hot press.",,rdamat:1015,Published,,,,,
illustration board,,1016,illustration board,A material that consists of laminated paper board that has paper layers glued to its surface.,A material that consists of laminated paper board that has paper layers glued to its surface.,,rdamat:1016,Published,,,,,
ink,,1017,ink,A material that consists of pigment or dye contained in a liquid or paste.,A material that consists of pigment or dye contained in a liquid or paste.,,rdamat:1017,Published,,,,,
ivory,,1018,ivory,"A material that consists of the dentine forming the bulk of the teeth and tusks of animals such as elephants, walruses, and narwhals.","A material that consists of the dentine forming the bulk of the teeth and tusks of animals such as elephants, walruses, and narwhals.",,rdamat:1018,Published,,,,,
lacquer,,1019,lacquer,"A material that consists of polymers or acrylic compounds dissolved in volatile organic compounds or other solvents, that when dry is hard and durable.","A material that consists of polymers or acrylic compounds dissolved in volatile organic compounds or other solvents, that when dry is hard and durable.",The material is generally used as a finish that may be clear or coloured.,rdamat:1019,Published,,,,,
leather,,1020,leather,A material that consists of the skin or hide of an animal that has been tanned to render it resistant to putrefaction and relatively soft and flexible when dry.,A material that consists of the skin or hide of an animal that has been tanned to render it resistant to putrefaction and relatively soft and flexible when dry.,,rdamat:1020,Published,rdamat:1035,,,,
magnetic particles,,1021,magnetic particles,A material that is a natural or synthetic inorganic compound that consists of particles that are highly magnetic and are commonly used to store binary or analog information.,A material that is a natural or synthetic inorganic compound that consists of particles that are highly magnetic and are commonly used to store binary or analog information.,,rdamat:1021,Published,,,,,
metal,,1022,metal,"A material that consists of a substance typified by being a good conductor of electricity and heat, opaque with a characteristic lustre, fusible, and usually malleable or ductile.","A material that consists of a substance typified by being a good conductor of electricity and heat, opaque with a characteristic lustre, fusible, and usually malleable or ductile.",,rdamat:1022,Published,,,,,
nitrate,celluloid,1023,nitrate,A material that is made of cellulose nitrate plasticized with camphor.,A material that is made of cellulose nitrate plasticized with camphor.,,rdamat:1023,Published,rdamat:1029,rdamat:1033,,,
