*preferred label[0]_en,alternative label[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,related to[0]
Bristol board (Deprecated),,Bristol board (Deprecated),"A base material consisting of a high-grade white cardboard, most commonly made by pasting together sheets of heavy ledger paper. (Deprecated)","A base material consisting of a high-grade white cardboard, most commonly made by pasting together sheets of heavy ledger paper. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1001,Deprecated,
canvas (Deprecated),,canvas (Deprecated),"A base material consisting of a closely woven textile made in various weights, usually of flax, hemp, jute, or cotton, used as a support for painting or printing; or a loosely woven, lattice-like mesh, usually of flax, hemp, jute, or cotton, used as a needlepoint foundation. (Deprecated)","A base material consisting of a closely woven textile made in various weights, usually of flax, hemp, jute, or cotton, used as a support for painting or printing; or a loosely woven, lattice-like mesh, usually of flax, hemp, jute, or cotton, used as a needlepoint foundation. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1002,Deprecated,
cardboard (Deprecated),,cardboard (Deprecated),"A base material consisting of a type of stiff sheet typically made of good-quality chemical pulp or rag pulp, varying greatly in type and strength, and that is thicker than 0.006 inches. (Deprecated)","A base material consisting of a type of stiff sheet typically made of good-quality chemical pulp or rag pulp, varying greatly in type and strength, and that is thicker than 0.006 inches. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1003,Deprecated,
ceramic (Deprecated),,ceramic (Deprecated),"A base material consisting of a nonmetallic mineral, such as clay, fired at a high temperature to form a hard, brittle, heat- and corrosion-resistant material. (Deprecated)","A base material consisting of a nonmetallic mineral, such as clay, fired at a high temperature to form a hard, brittle, heat- and corrosion-resistant material. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1004,Deprecated,
glass (Deprecated),,glass (Deprecated),A base material consisting of silicon dioxide (silica) fused with one or more basic oxides; generally transparent but often translucent or opaque. (Deprecated),A base material consisting of silicon dioxide (silica) fused with one or more basic oxides; generally transparent but often translucent or opaque. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1005,Deprecated,
hardboard (Deprecated),fibreboard (Deprecated),hardboard (Deprecated),"A base material consisting of any firm, dense, rigid board, often manufactured from fiber consolidated in a hot press. (Deprecated)","A base material consisting of any firm, dense, rigid board, often manufactured from fiber consolidated in a hot press. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1006,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1020
illustration board (Deprecated),,illustration board (Deprecated),A base material consisting of laminated paper board that has paper layers glued to its surface; used commonly as temporary artists' supports. (Deprecated),A base material consisting of laminated paper board that has paper layers glued to its surface; used commonly as temporary artists' supports. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1007,Deprecated,
ivory (Deprecated),,ivory (Deprecated),"A base material consisting of the dentine forming the bulk of the teeth and tusks of animals such as elephants, walruses, and narwhals. (Deprecated)","A base material consisting of the dentine forming the bulk of the teeth and tusks of animals such as elephants, walruses, and narwhals. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1008,Deprecated,
leather (Deprecated),,leather (Deprecated),A base material consisting of the skin or hide of an animal that has been tanned to render it resistant to putrefaction and relatively soft and flexible when dry. (Deprecated),A base material consisting of the skin or hide of an animal that has been tanned to render it resistant to putrefaction and relatively soft and flexible when dry. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1009,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1017
metal (Deprecated),,metal (Deprecated),"A base material consisting of a substance typified by being a good conductor of electricity and heat, opaque with a characteristic lustre, fusible, and usually malleable or ductile. (Deprecated)","A base material consisting of a substance typified by being a good conductor of electricity and heat, opaque with a characteristic lustre, fusible, and usually malleable or ductile. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1010,Deprecated,
paper (Deprecated),,paper (Deprecated),"A base material consisting of thin material made from felted sheets or webs of animal, plant, mineral, or synthetic fibres formed and dried from a suspension in water. (Deprecated)","A base material consisting of thin material made from felted sheets or webs of animal, plant, mineral, or synthetic fibres formed and dried from a suspension in water. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1011,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1020
parchment (Deprecated),,parchment (Deprecated),"A base material consisting of calf, sheep, or goat skin which has been prepared to produce a thin, strong, translucent or opaque substance for writing, bookbinding, or other uses. (Deprecated)","A base material consisting of calf, sheep, or goat skin which has been prepared to produce a thin, strong, translucent or opaque substance for writing, bookbinding, or other uses. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1012,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1021
plaster (Deprecated),,plaster (Deprecated),An applied material or base material consisting of a powder prepared from calcium sulphate dihydrate (gypsum) or calcium carbonate and mixed with water and sometimes a filler to form a paste that liberates heat and then hardens. (Deprecated),An applied material or base material consisting of a powder prepared from calcium sulphate dihydrate (gypsum) or calcium carbonate and mixed with water and sometimes a filler to form a paste that liberates heat and then hardens. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1013,Deprecated,
plastic (Deprecated),,plastic (Deprecated),An applied material or base material consisting of synthetic or semi-synthetic organic polymers of high molecular weight that are moldable. (Deprecated),An applied material or base material consisting of synthetic or semi-synthetic organic polymers of high molecular weight that are moldable. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1014,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1022
porcelain (Deprecated),,porcelain (Deprecated),A base material consisting of a refractory white clay (kaolin) and a feldspathic rock that is heated to form a ceramic material. (Deprecated),A base material consisting of a refractory white clay (kaolin) and a feldspathic rock that is heated to form a ceramic material. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1015,Deprecated,
shellac (Deprecated),,shellac (Deprecated),"A base material consisting of lac, a resinous substance excreted by the female lac insect, that can be dissolved in ethyl alcohol to form a liquid that can be applied with a brush. (Deprecated)","A base material consisting of lac, a resinous substance excreted by the female lac insect, that can be dissolved in ethyl alcohol to form a liquid that can be applied with a brush. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1016,Deprecated,
skin (Deprecated),,skin (Deprecated),"A base material consisting of the integument of animals, such as sheep, goats, or calves, separated from the body and variously processed to remove hair, dry, tan, or otherwise dress. (Deprecated)","A base material consisting of the integument of animals, such as sheep, goats, or calves, separated from the body and variously processed to remove hair, dry, tan, or otherwise dress. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1017,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1009
stone (Deprecated),,stone (Deprecated),"A base material consisting of rock in its naturally occurring shape or that has been cut, shaped, crushed, or otherwise formed. (Deprecated)","A base material consisting of rock in its naturally occurring shape or that has been cut, shaped, crushed, or otherwise formed. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1018,Deprecated,
synthetic (Deprecated),,synthetic (Deprecated),"A base material created by processing man-made materials, usually as a substitute for a natural material. (Deprecated)","A base material created by processing man-made materials, usually as a substitute for a natural material. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1019,Deprecated,
textile (Deprecated),,textile (Deprecated),"A base material produced by weaving, felting, knotting, twining, or otherwise processing natural or synthetic fibers so that they cohere. (Deprecated)","A base material produced by weaving, felting, knotting, twining, or otherwise processing natural or synthetic fibers so that they cohere. (Deprecated)","Excludes fibreboard, paper, papier-m&acirc;ché, and papyrus.",http://rdaregistry.info/termList/RDAbaseMaterial/1020,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1011
vellum (Deprecated),,vellum (Deprecated),A base material consisting of fine-quality calf or lamb parchment. (Deprecated),A base material consisting of fine-quality calf or lamb parchment. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1021,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1012
vinyl (Deprecated),,vinyl (Deprecated),"A base material consisting of a polymer or copolymer derived from a vinyl (ethenyl) group, typically vinyl chloride. (Deprecated)","A base material consisting of a polymer or copolymer derived from a vinyl (ethenyl) group, typically vinyl chloride. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1022,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1014
wax (Deprecated),,wax (Deprecated),"An applied material or a base material consisting of a chemical compound from an animal, plant, mineral, or synthetic source that is malleable near ambient temperatures, slightly greasy to the touch, with a low melting point, and usually translucent, water-repellant, and soluble in organic solvents. (Deprecated)","An applied material or a base material consisting of a chemical compound from an animal, plant, mineral, or synthetic source that is malleable near ambient temperatures, slightly greasy to the touch, with a low melting point, and usually translucent, water-repellant, and soluble in organic solvents. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1023,Deprecated,
wood (Deprecated),,wood (Deprecated),A base material consisting of the principal tissue of trees and similar plants. (Deprecated),A base material consisting of the principal tissue of trees and similar plants. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1024,Deprecated,
triacetate (Deprecated),cellulose triacetate,triacetate (Deprecated),"A base material manufactured from cellulose and a source of acetate esters, typically acetic anhydride. (Deprecated)","A base material manufactured from cellulose and a source of acetate esters, typically acetic anhydride. (Deprecated)",,http://rdaregistry.info/termList/RDAbaseMaterial/1026,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1033
safety base (Deprecated),,safety base (Deprecated),A base material consisting of nonflammable cellulose acetate or polyester. (Deprecated),A base material consisting of nonflammable cellulose acetate or polyester. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1027,Deprecated,http://rdaregistry.info/termList/RDAbaseMaterial/1031
rubber (Deprecated),,rubber (Deprecated),A base material consisting of natural or synthetic polymers that have a high degree of resilience and elasticity. (Deprecated),A base material consisting of natural or synthetic polymers that have a high degree of resilience and elasticity. (Deprecated),,http://rdaregistry.info/termList/RDAbaseMaterial/1028,Deprecated,
